iter	RMSE
398	4.073244284
399	4.068544597
400	4.067089013
401	4.06372834
402	4.061229233
403	4.060685044
404	4.057317953
405	4.056269498
406	4.051746613
407	4.051115778
408	4.048497934
409	4.046452759
410	4.042392758
411	4.040691194
412	4.03774525
413	4.037074456
414	4.033278188
415	4.032793127
416	4.028585117
417	4.028114494
418	4.024748126
419	4.024082902
420	4.019724346
421	4.015461327
422	4.011857245
423	4.007553756
424	4.006415282
425	4.001769981
426	3.998183412
427	3.996351768
428	3.992359105
429	3.991686252
430	3.989867414
431	3.986669415
432	3.984818062
433	3.980765381
434	3.979423065
435	3.976275194
436	3.974554139
437	3.973461436
438	3.970642005
439	3.970129146
440	3.968399471
441	3.963935456
442	3.960108505
443	3.958351053
444	3.95400878
445	3.951175716
446	3.949047362
447	3.945089985
448	3.944262513
449	3.94095816
450	3.940562224
451	3.938177509
452	3.936305302
453	3.933263661
454	3.930005971
455	3.927948653
456	3.926079346
457	3.925533801
458	3.922119232
459	3.917654957
460	3.914313731
461	3.909250031
462	3.907939138
463	3.904217475
464	3.903405465
465	3.898537789
466	3.896669155
467	3.892098701
468	3.888702458
469	3.887342669
470	3.883423272
471	3.880003757
472	3.877729635
473	3.874663014
474	3.874133036
475	3.870714022
476	3.870274146
477	3.866927672
478	3.866589835
479	3.862687544
480	3.862355581
481	3.860367576
482	3.857337668
483	3.854359902
484	3.851334258
485	3.849097157
486	3.845346392
487	3.844227876
488	3.839224326
489	3.838922767
490	3.835191517
491	3.830918638
492	3.828498964
493	3.825353593
494	3.823932612
495	3.819168237
496	3.817091361
497	3.812765215
498	3.809130766
499	3.806513047
500	3.806171618
501	3.801936125
502	3.800979353
503	3.798547996
504	3.795192934
505	3.793898038
506	3.791128143
507	3.789226067
508	3.788525977
509	3.784844689
510	3.784733326
511	3.783882432
512	3.780140196
513	3.776936364
514	3.776525948
515	3.773243415
516	3.772575385
517	3.772177662
518	3.771973185
519	3.770274226
520	3.768743761
521	3.765817064
522	3.76394989
523	3.761195975
524	3.758688083
525	3.75693589
526	3.756127518
527	3.754875425
528	3.75001317
529	3.747836613
530	3.743372538
531	3.739581333
532	3.735021375
533	3.734590733
534	3.730309718
535	3.727681454
536	3.724913363
537	3.721283239
538	3.718287153
539	3.714756538
540	3.712038888
541	3.709473241
542	3.707850645
543	3.705682067
544	3.702281854
545	3.698864826
546	3.696525698
547	3.695268969
548	3.694764637
549	3.691591982
550	3.689498966
551	3.688943892
552	3.688616099
553	3.685046351
554	3.682100702
555	3.680368745
556	3.677414764
557	3.676316675
558	3.673357176
559	3.672157095
560	3.670641609
561	3.667970609
562	3.667618651
563	3.665535926
564	3.661623223
565	3.659676174
566	3.659254166
567	3.657281697
568	3.655855345
569	3.654319338
570	3.652914149
571	3.650944778
572	3.64803582
573	3.647734219
574	3.645342152
575	3.643798812
576	3.641860751
577	3.639469971
578	3.638096769
579	3.636215568
580	3.631729583
581	3.629830089
582	3.629356461
583	3.628094179
584	3.625103058
585	3.623716421
586	3.623147606
587	3.622642927
588	3.618789324
589	3.616363776
590	3.616062356
591	3.61474139
592	3.611906945
593	3.611492202
594	3.611249342
595	3.607375691
596	3.606474874
597	3.60359075
598	3.60232875
599	3.59968058
600	3.598015975
601	3.596615429
602	3.594890528
603	3.593024041
604	3.591042437
605	3.589540092
606	3.586381392
607	3.583192092
608	3.581412873
609	3.580208126
610	3.576871546
611	3.575306272
612	3.573835572
613	3.57357836
614	3.570506801
615	3.567960074
616	3.567561725
617	3.565251608
618	3.562619758
619	3.558487478
620	3.557942006
621	3.554520419
622	3.552561456
623	3.552368905
624	3.552044218
625	3.551483375
626	3.549975148
627	3.547168693
628	3.544503004
629	3.543610622
630	3.542351439
631	3.539718862
632	3.536500857
633	3.535162539
634	3.532774487
635	3.531128457
636	3.528474045
637	3.528144441
638	3.525300469
639	3.522428292
640	3.522126624
641	3.52190643
642	3.519845159
643	3.517616212
644	3.515738559
645	3.514512395
646	3.514042678
647	3.510856722
648	3.508992755
649	3.505395409
650	3.503491775
651	3.500245695
652	3.499786252
653	3.496404477
654	3.492561137
655	3.492103628
656	3.488582383
657	3.486893596
658	3.486492195
659	3.48343303
660	3.480495553
661	3.478671031
662	3.476660982
663	3.474952169
664	3.473981159
665	3.471770075
666	3.469728453
667	3.465791742
668	3.465606281
669	3.465427093
670	3.464129896
671	3.461866883
672	3.461397795
673	3.460095976
674	3.459356027
675	3.455878703
676	3.453025196
677	3.450742973
678	3.450549119
679	3.449577296
680	3.447043584
681	3.446072164
682	3.442964258
683	3.441637607
684	3.43932164
685	3.436203114
686	3.436094071
687	3.432868415
688	3.430311204
689	3.427369099
690	3.427244283
691	3.426332509
692	3.423028504
693	3.421480509
694	3.420760967
695	3.420423194
696	3.417535925
697	3.417279717
698	3.416393284
699	3.414344132
700	3.414171153
701	3.412929267
702	3.411853954
703	3.411343954
704	3.409662188
705	3.409439748
706	3.407277347
707	3.40592793
708	3.405573033
709	3.401272568
710	3.39721405
711	3.394051888
712	3.39089348
713	3.388237372
714	3.387456343
715	3.384780237
716	3.382686183
717	3.378583007
718	3.375470491
719	3.373001324
720	3.371878619
721	3.37001997
722	3.368259237
723	3.367545295
724	3.364450045
725	3.36438852
726	3.361940185
727	3.360052837
728	3.35975149
729	3.358396916
730	3.357536746
731	3.355934337
732	3.353757664
733	3.35258944
734	3.349542952
735	3.34654331
736	3.342335496
737	3.340859641
738	3.338590267
739	3.337079312
740	3.335853009
741	3.332786331
742	3.330218621
743	3.329291414
744	3.326677214
745	3.325373374
746	3.325204583
747	3.323448251
748	3.321491736
749	3.318644624
750	3.315625324
751	3.315410788
752	3.311941153
753	3.309107639
754	3.307027864
755	3.305456422
756	3.303861624
757	3.299380303
758	3.298533381
759	3.295683614
760	3.294764956
761	3.292454677
762	3.292313946
763	3.290900891
764	3.28885699
765	3.286506454
766	3.284740406
767	3.284567192
768	3.283693785
769	3.282777004
770	3.280654337
771	3.277891934
772	3.277790274
773	3.276812932
774	3.274573513
775	3.272963023
776	3.269509122
777	3.269348689
778	3.268469491
779	3.267125491
780	3.266944309
781	3.265827081
782	3.264057535
783	3.263826507
784	3.263654563
785	3.262538859
786	3.261874998
787	3.26170892
788	3.260889337
789	3.258367541
790	3.255813872
791	3.255425281
792	3.254344702
793	3.252356768
794	3.249744761
795	3.248260135
796	3.248075831
797	3.245816721
798	3.243840489
799	3.241559521
800	3.240208557
801	3.239218589
802	3.238602173
803	3.237216195
804	3.23704211
805	3.235391529
806	3.234113538
807	3.234010192
808	3.233252151
809	3.231748133
810	3.228739059
811	3.227910888
812	3.225110915
813	3.22221847
814	3.219530458
815	3.21804653
816	3.216261165
817	3.216102134
818	3.21474146
819	3.211802198
820	3.209833637
821	3.208748611
822	3.206561043
823	3.205916457
824	3.202705187
825	3.202008464
826	3.200400588
827	3.200093367
828	3.198050154
829	3.19515984
830	3.192829212
831	3.190919352
832	3.188239008
833	3.186371593
834	3.185852885
835	3.184133656
836	3.182716829
837	3.182375977
838	3.181288247
839	3.17801659
840	3.177406326
841	3.175224055
842	3.173045668
843	3.171871054
844	3.171248344
845	3.171105189
846	3.169453773
847	3.16894716
848	3.168048862
849	3.167231097
850	3.166455751
851	3.165077483
852	3.163765208
853	3.161173474
854	3.158816256
855	3.158228873
856	3.157373695
857	3.154367897
858	3.15323333
859	3.151134919
860	3.148132888
861	3.145733882
862	3.145020912
863	3.142254398
864	3.140909908
865	3.140303418
866	3.140195006
867	3.138455506
868	3.13645561
869	3.133962214
870	3.132808235
871	3.129121761
872	3.128032336
873	3.1271276
874	3.124744623
875	3.123827289
876	3.122784865
877	3.122051337
878	3.121295082
879	3.121101046
880	3.119471603
881	3.119371078
882	3.117568043
883	3.11677972
884	3.116664679
885	3.113568438
886	3.112503701
887	3.110236653
888	3.109316175
889	3.10649686
890	3.103672022
891	3.103404929
892	3.101928016
893	3.100362336
894	3.100256682
895	3.099375013
896	3.096773633
897	3.09519764
898	3.092548351
899	3.091372072
900	3.090231533
901	3.090131205
902	3.089192316
903	3.086952054
904	3.086638841
905	3.084381429
906	3.082501997
907	3.081739067
908	3.078939896
909	3.077459525
910	3.077408657
911	3.076994705
912	3.076180038
913	3.075600177
914	3.075092336
915	3.073715725
916	3.073571901
917	3.072975645
918	3.071778225
919	3.069942567
920	3.068585285
921	3.067303766
922	3.065477138
923	3.062714061
924	3.060283966
925	3.059774694
926	3.058650689
927	3.056606872
928	3.056497183
929	3.056447718
930	3.05451011
931	3.05086143
932	3.050593628
933	3.049402867
934	3.048491364
935	3.048296241
936	3.046089117
937	3.045461243
938	3.044647753
939	3.043614896
940	3.042538894
941	3.041133351
942	3.03996715
943	3.039310763
944	3.037572525
945	3.03745009
946	3.035703202
947	3.035027525
948	3.034377636
949	3.034223721
950	3.032270783
951	3.030345205
952	3.029315469
953	3.028146342
954	3.027877991
955	3.026303011
956	3.025827499
957	3.025360638
958	3.023939988
959	3.021501336
960	3.019323776
961	3.016610234
962	3.016502785
963	3.015492712
964	3.014560587
965	3.013520773
966	3.012991186
967	3.010378975
968	3.008069754
969	3.006847696
970	3.006697367
971	3.005683148
972	3.004987928
973	3.004222542
974	3.000432527
975	2.998563393
976	2.998506673
977	2.997808712
978	2.996827943
979	2.993239023
980	2.99180477
981	2.991730842
982	2.98964201
983	2.989508251
984	2.989434158
985	2.989091391
986	2.987637702
987	2.986429821
988	2.986362449
989	2.985759048
990	2.985077241
991	2.984597451
992	2.980258511
993	2.978069101
994	2.976042621
995	2.973448036
996	2.972140886
997	2.970870648
998	2.968665473
999	2.966199559
